State,Stateabbr,Metro,MetroSize,Numberinhousehold,Poverty,Disability,Lunch,FoodStamps,IncomeScale,Unemployment,Welfare,WIC,SocialSec,SupSocialSec,TotalIncome,Minor,Vet
1,AL,0,0,2,0,0,0,0,20,0,0,0,1,0,48699,0,0
1,AL,0,0,2,0,0,0,0,41,0,0,0,1,0,136810,0,1
1,AL,0,0,2,1,0,0,1,1,1,0,1,0,0,102,1,0
1,AL,0,0,2,0,0,0,0,30,0,0,0,0,0,73925,0,0
1,AL,0,0,2,0,0,0,0,30,0,0,0,1,0,73458,0,0
1,AL,0,0,2,0,0,0,0,41,0,0,0,0,0,131042,0,0
1,AL,0,0,2,0,0,0,0,41,0,0,0,1,0,141463,0,1
1,AL,0,0,2,1,0,0,0,1,0,0,0,0,0,115,0,0
1,AL,0,0,2,0,0,0,0,27,0,0,0,1,0,67411,0,0
1,AL,0,0,2,0,0,0,0,19,1,0,0,0,0,46588,0,0
1,AL,0,0,2,0,0,0,0,31,0,0,0,0,0,75130,0,0
1,AL,0,0,2,0,0,0,0,11,0,0,0,0,0,25009,0,0
1,AL,0,0,2,0,0,0,0,29,0,0,0,0,0,72146,0,0
1,AL,0,0,2,0,0,0,0,28,0,0,0,1,0,69952,0,0
1,AL,0,0,2,0,0,0,0,41,0,0,0,1,0,125431,0,0
1,AL,0,0,2,0,0,0,0,30,0,0,0,0,0,73596,0,0
1,AL,0,0,2,0,0,0,0,10,0,0,0,0,1,24000,0,0
1,AL,0,0,2,1,0,0,0,5,0,0,0,1,0,11592,0,0
1,AL,0,0,2,0,0,0,0,22,0,0,0,1,0,52564,0,0
1,AL,0,0,2,0,0,1,0,13,0,0,0,0,0,32045,1,0
1,AL,0,0,2,0,0,0,0,41,0,0,0,0,0,150000,0,0
1,AL,0,0,2,0,0,0,0,18,0,0,0,0,0,43000,0,0
1,AL,0,0,2,0,0,0,0,11,0,0,0,1,0,26640,0,0
1,AL,0,0,2,0,0,0,0,41,0,0,0,1,0,116400,0,0
1,AL,0,0,2,0,0,0,0,25,0,0,0,1,0,60991,0,0
1,AL,0,0,2,0,0,0,0,23,0,0,0,0,0,56402,0,0
1,AL,0,0,2,0,0,0,0,36,0,0,0,0,0,89202,0,0
1,AL,0,0,2,0,0,0,0,41,0,0,0,0,0,252005,0,0
1,AL,0,0,2,0,0,0,1,17,0,0,0,1,0,41329,0,0
1,AL,0,0,2,0,0,0,0,9,0,0,0,1,1,21764,0,0
1,AL,0,0,2,0,0,0,0,41,0,0,0,0,0,155081,0,0
1,AL,0,0,2,0,0,1,0,41,0,0,0,0,0,111100,1,0
1,AL,0,0,2,0,0,0,0,22,0,0,0,1,0,53575,0,0
1,AL,0,0,2,0,0,0,0,17,0,0,0,1,0,41477,0,1
1,AL,0,0,2,0,0,0,0,32,0,0,0,1,0,77619,0,0
1,AL,0,0,2,0,0,0,0,41,0,0,0,1,0,105123,0,0
1,AL,0,0,2,0,0,0,0,41,0,0,0,0,0,189279,0,0
1,AL,0,0,2,0,0,0,0,20,0,0,0,1,0,48005,0,0
1,AL,0,0,2,0,0,1,1,39,0,0,0,0,0,95000,1,0
1,AL,0,0,2,1,0,0,0,6,0,0,0,1,0,13956,0,0
1,AL,0,0,2,0,0,0,0,20,0,0,0,0,0,49109,0,0
1,AL,0,0,2,0,0,0,1,15,0,0,0,0,0,36002,0,0
1,AL,0,0,2,0,0,0,0,29,0,0,0,1,0,71162,0,0
1,AL,0,0,2,0,0,0,0,41,0,0,0,0,0,101490,0,0
1,AL,0,0,2,1,0,0,0,7,0,0,0,1,0,16009,0,0
1,AL,0,0,2,0,0,0,0,38,0,0,0,1,0,93544,0,0
1,AL,0,0,2,0,0,0,0,22,0,0,0,1,0,53671,0,0
1,AL,0,0,2,0,0,0,0,41,0,0,0,1,0,179213,0,0
1,AL,0,0,2,0,0,0,0,41,0,0,0,0,0,105285,0,0
1,AL,0,0,2,0,0,0,0,9,0,0,0,0,0,20800,0,0
1,AL,0,0,2,0,0,0,0,41,0,0,0,0,0,139000,0,0
